wind_dir_cos,hotspot_roll_sum_24h,month_cos,pm25_roll_mean_12h,hotspot_count,pm25_roll_mean_24h,pm25_roll_mean_168h,hotspot_roll_sum_48h,frp_sum_log,pm25_lag_12h,wind_dir_sin,relative_humidity_2m,province_target_enc,hotspot_log_lag_72h,pm25_roll_max_12h,Province,Datetime,hotspot_log,PM25,hotspot_log_lag_24h,frp_roll_sum_48h,pm25_roll_max_3h,wind_speed_10m,temperature_2m,hour_sin,pm25_lag_72h,pm25_roll_mean_48h,predicted,surface_pressure,frp_mean_log,hour_cos,is_predicted,hotspot_lag_24h,pm25_lag_3h,wind_direction_10m,hotspot_roll_sum_168h,frp_x_haze,frp_roll_sum_24h,pm25_roll_max_168h,humidity_delta_1h,frp_roll_sum_168h,pm25_lag_1h,year,hotspot_lag_72h,month_sin,pm25_lag_2h,precipitation_log,pm25_roll_std_24h,pm25_roll_std_168h,pm25_lag_48h,hotspot_log_lag_48h,pm25_roll_std_6h,pm25_lag_24h,day_cos,frp_sum_lag_48h,pm25_lag_6h,hotspot_x_haze,pm25_roll_std_3h,pm25_roll_std_12h,frp_mean,hotspot_lag_48h,pm25_roll_max_6h,day_sin,pm25_roll_mean_6h,pm25_delta_24h,pm25_roll_mean_3h,pm25_roll_max_24h,frp_sum_lag_72h,frp_sum_lag_24h,frp_sum,pm25_delta_1h,humidity_delta_24h,pm25_roll_std_48h,pm25_roll_max_48h,is_haze_season,precipitation
,,,,0.0,,,,,,,94,,,,Chiang Mai,2026-09-18 23:00:00,,15.0,,,,4.9,24.3,,,,15.0,976.7,,,False,,,309,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,3.8
,,,,0.0,,,,,,,96,,,,Chiang Mai,2026-09-19 00:00:00,,12.7,,,,3.0,24.3,,,,12.7,976.3,,,False,,,322,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.7
,,,,0.0,,,,,,,96,,,,Chiang Mai,2026-09-19 01:00:00,,10.9,,,,2.8,24.4,,,,10.9,976.0,,,False,,,285,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.1
,,,,0.0,,,,,,,97,,,,Chiang Mai,2026-09-19 02:00:00,,8.4,,,,2.7,23.8,,,,8.4,975.8,,,False,,,250,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,1.7
,,,,0.0,,,,,,,96,,,,Chiang Mai,2026-09-19 03:00:00,,6.6,,,,3.8,23.3,,,,6.6,975.7,,,False,,,289,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,3.5
,,,,0.0,,,,,,,96,,,,Chiang Mai,2026-09-19 04:00:00,,4.7,,,,1.7,23.1,,,,4.7,975.9,,,False,,,221,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,2.4
,,,,0.0,,,,,,,94,,,,Chiang Mai,2026-09-19 05:00:00,,3.5,,,,1.0,23.2,,,,3.5,975.9,,,False,,,315,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,2.6
,,,,0.0,,,,,,,94,,,,Chiang Mai,2026-09-19 06:00:00,,3.7,,,,4.0,23.1,,,,3.7,976.1,,,False,,,357,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.4
,,,,0.0,,,,,,,94,,,,Chiang Mai,2026-09-19 07:00:00,,1.9,,,,5.2,23.5,,,,1.9,977.1,,,False,,,326,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.1
,,,,0.0,,,,,,,89,,,,Chiang Mai,2026-09-19 08:00:00,,2.8,,,,6.5,24.6,,,,2.8,978.0,,,False,,,352,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.1
,,,,0.0,,,,,,,83,,,,Chiang Mai,2026-09-19 09:00:00,,3.6,,,,5.5,26.1,,,,3.6,978.8,,,False,,,337,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0
,,,,0.0,,,,,,,78,,,,Chiang Mai,2026-09-19 10:00:00,,5.0,,,,3.6,27.4,,,,5.0,978.9,,,False,,,342,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0
,,,,0.0,,,,,,,74,,,,Chiang Mai,2026-09-19 11:00:00,,5.3,,,,7.4,28.8,,,,5.3,978.8,,,False,,,103,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.2
,,,,0.0,,,,,,,81,,,,Chiang Mai,2026-09-19 12:00:00,,6.6,,,,7.5,27.5,,,,6.6,978.0,,,False,,,101,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,2.7
,,,,0.0,,,,,,,67,,,,Chiang Mai,2026-09-19 13:00:00,,6.9,,,,9.5,30.1,,,,6.9,977.6,,,False,,,101,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.5
,,,,0.0,,,,,,,69,,,,Chiang Mai,2026-09-19 14:00:00,,5.7,,,,8.3,29.4,,,,5.7,976.0,,,False,,,106,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.4
,,,,0.0,,,,,,,80,,,,Chiang Mai,2026-09-19 15:00:00,,6.5,,,,5.5,27.6,,,,6.5,975.3,,,False,,,169,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,1.3
,,,,0.0,,,,,,,84,,,,Chiang Mai,2026-09-19 16:00:00,,7.1,,,,9.4,26.9,,,,7.1,974.8,,,False,,,241,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.5
,,,,0.0,,,,,,,77,,,,Chiang Mai,2026-09-19 17:00:00,,8.0,,,,5.8,27.9,,,,8.0,974.8,,,False,,,254,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0
,,,,0.0,,,,,,,81,,,,Chiang Mai,2026-09-19 18:00:00,,13.0,,,,1.5,26.5,,,,13.0,975.7,,,False,,,306,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0
,,,,0.0,,,,,,,84,,,,Chiang Mai,2026-09-19 19:00:00,,26.3,,,,1.8,27.2,,,,26.3,975.8,,,False,,,315,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,3.1
,,,,0.0,,,,,,,86,,,,Chiang Mai,2026-09-19 20:00:00,,33.8,,,,0.4,26.7,,,,33.8,977.2,,,False,,,243,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.1
,,,,0.0,,,,,,,89,,,,Chiang Mai,2026-09-19 21:00:00,,34.7,,,,2.5,26.2,,,,34.7,978.2,,,False,,,8,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.1
,,,,0.0,,,,,,,92,,,,Chiang Mai,2026-09-19 22:00:00,,35.4,,,,5.8,25.7,,,,35.4,978.9,,,False,,,351,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0
,,,,0.0,,,,,,,91,,,,Chiang Mai,2026-09-19 23:00:00,,37.1,,,,6.4,25.2,,,,37.1,978.8,,,False,,,335,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0
,,,,0.0,,,,,,,91,,,,Chiang Mai,2026-09-20 00:00:00,,27.6,,,,5.2,24.7,,,,27.6,978.5,,,False,,,333,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0
,,,,0.0,,,,,,,92,,,,Chiang Mai,2026-09-20 01:00:00,,22.6,,,,7.5,24.2,,,,22.6,978.2,,,False,,,280,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.1
,,,,0.0,,,,,,,97,,,,Chiang Mai,2026-09-20 02:00:00,,21.8,,,,13.8,23.1,,,,21.8,978.7,,,False,,,186,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,1.3
,,,,0.0,,,,,,,95,,,,Chiang Mai,2026-09-20 03:00:00,,21.1,,,,5.1,23.4,,,,21.1,978.8,,,False,,,276,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,1.8
,,,,0.0,,,,,,,96,,,,Chiang Mai,2026-09-20 04:00:00,,11.8,,,,5.8,23.4,,,,11.8,978.3,,,False,,,26,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,1.3
,,,,0.0,,,,,,,96,,,,Chiang Mai,2026-09-20 05:00:00,,7.6,,,,6.8,22.8,,,,7.6,978.7,,,False,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0
,,,,0.0,,,,,,,97,,,,Chiang Mai,2026-09-20 06:00:00,,6.4,,,,3.4,22.7,,,,6.4,979.0,,,False,,,335,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0
,,,,0.0,,,,,,,93,,,,Chiang Mai,2026-09-20 07:00:00,,5.9,,,,7.4,23.8,,,,5.9,979.4,,,False,,,334,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0
,,,,0.0,,,,,,,89,,,,Chiang Mai,2026-09-20 08:00:00,,6.8,,,,6.8,25.1,,,,6.8,979.9,,,False,,,338,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0
,,,,0.0,,,,,,,80,,,,Chiang Mai,2026-09-20 09:00:00,,7.5,,,,5.8,26.8,,,,7.5,980.2,,,False,,,344,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0
,,,,0.0,,,,,,,73,,,,Chiang Mai,2026-09-20 10:00:00,,7.0,,,,3.8,28.1,,,,7.0,980.2,,,False,,,25,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.2
,,,,0.0,,,,,,,73,,,,Chiang Mai,2026-09-20 11:00:00,,4.9,,,,1.8,28.9,,,,4.9,980.0,,,False,,,90,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.1
,,,,0.0,,,,,,,70,,,,Chiang Mai,2026-09-20 12:00:00,,4.7,,,,5.0,30.1,,,,4.7,979.2,,,False,,,136,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.1
,,,,0.0,,,,,,,66,,,,Chiang Mai,2026-09-20 13:00:00,,4.9,,,,7.2,30.3,,,,4.9,978.8,,,False,,,152,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.1
,,,,0.0,,,,,,,61,,,,Chiang Mai,2026-09-20 14:00:00,,4.8,,,,6.6,30.6,,,,4.8,977.1,,,False,,,159,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.5
,,,,0.0,,,,,,,66,,,,Chiang Mai,2026-09-20 15:00:00,,5.2,,,,7.7,29.4,,,,5.2,975.7,,,False,,,152,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.5
,,,,0.0,,,,,,,63,,,,Chiang Mai,2026-09-20 16:00:00,,5.9,,,,4.2,30.7,,,,5.9,975.8,,,False,,,175,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.6
,,,,0.0,,,,,,,91,,,,Chiang Mai,2026-09-20 17:00:00,,6.6,,,,7.9,25.6,,,,6.6,976.5,,,False,,,191,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,7.4
