date,Province,hotspot_count,frp_sum,frp_mean
2023-01-01,Chiang Mai,0.0,0.0,0.0
2023-01-01,Chiang Rai,4.0,24.78,6.195
2023-01-01,Lampang,2.0,2.67,1.335
2023-01-01,Lamphun,1.0,8.05,8.05
2023-01-01,Mae Hong Son,0.0,0.0,0.0
2023-01-01,Nan,1.0,6.77,6.77
2023-01-01,Phayao,5.0,23.47,4.694
2023-01-01,Phrae,2.0,3.63,1.815
2023-01-02,Chiang Mai,1.0,12.44,12.44
2023-01-02,Chiang Rai,10.0,71.96,7.196
2023-01-02,Lampang,3.0,12.04,4.013333333333333
2023-01-02,Lamphun,0.0,0.0,0.0
2023-01-02,Mae Hong Son,2.0,8.39,4.195
2023-01-02,Nan,4.0,28.62,7.155
2023-01-02,Phayao,2.0,4.98,2.49
2023-01-02,Phrae,0.0,0.0,0.0
2023-01-03,Chiang Mai,5.0,26.77,5.354
2023-01-03,Chiang Rai,5.0,13.79,2.758
2023-01-03,Lampang,0.0,0.0,0.0
2023-01-03,Lamphun,0.0,0.0,0.0
2023-01-03,Mae Hong Son,2.0,10.57,5.285
2023-01-03,Nan,0.0,0.0,0.0
2023-01-03,Phayao,0.0,0.0,0.0
2023-01-03,Phrae,0.0,0.0,0.0
2023-01-04,Chiang Mai,5.0,20.66,4.132
2023-01-04,Chiang Rai,4.0,28.87,7.2175
2023-01-04,Lampang,0.0,0.0,0.0
2023-01-04,Lamphun,0.0,0.0,0.0
2023-01-04,Mae Hong Son,3.0,8.100000000000001,2.7000000000000006
2023-01-04,Nan,3.0,15.49,5.163333333333333
2023-01-04,Phayao,6.0,24.41,4.068333333333333
2023-01-04,Phrae,2.0,17.490000000000002,8.745000000000001
2023-01-05,Chiang Mai,2.0,7.74,3.87
2023-01-05,Chiang Rai,21.0,118.82000000000001,5.658095238095238
2023-01-05,Lampang,7.0,34.33,4.904285714285714
2023-01-05,Lamphun,0.0,0.0,0.0
2023-01-05,Mae Hong Son,2.0,6.8,3.4
2023-01-05,Nan,6.0,19.7,3.283333333333333
2023-01-05,Phayao,7.0,29.4,4.2
2023-01-05,Phrae,2.0,5.04,2.52
2023-01-06,Chiang Mai,3.0,41.400000000000006,13.800000000000002
2023-01-06,Chiang Rai,3.0,8.6,2.8666666666666667
2023-01-06,Lampang,1.0,2.4,2.4
2023-01-06,Lamphun,0.0,0.0,0.0
2023-01-06,Mae Hong Son,1.0,4.77,4.77
2023-01-06,Nan,8.0,40.129999999999995,5.016249999999999
2023-01-06,Phayao,7.0,13.84,1.977142857142857
2023-01-06,Phrae,0.0,0.0,0.0
2023-01-07,Chiang Mai,5.0,68.9,13.780000000000001
2023-01-07,Chiang Rai,7.0,45.39,6.484285714285714
2023-01-07,Lampang,4.0,13.07,3.2675
2023-01-07,Lamphun,1.0,3.86,3.86
2023-01-07,Mae Hong Son,6.0,17.4,2.9
2023-01-07,Nan,3.0,56.2,18.733333333333334
2023-01-07,Phayao,3.0,9.620000000000001,3.206666666666667
2023-01-07,Phrae,1.0,2.59,2.59
2023-01-08,Chiang Mai,12.0,79.01,6.584166666666667
2023-01-08,Chiang Rai,14.0,80.87,5.776428571428572
2023-01-08,Lampang,7.0,32.739999999999995,4.677142857142856
2023-01-08,Lamphun,1.0,2.54,2.54
2023-01-08,Mae Hong Son,1.0,5.3,5.3
2023-01-08,Nan,3.0,18.89,6.296666666666667
2023-01-08,Phayao,3.0,10.52,3.5066666666666664
2023-01-08,Phrae,0.0,0.0,0.0
2023-01-09,Chiang Mai,6.0,26.64,4.44
2023-01-09,Chiang Rai,10.0,41.6,4.16
2023-01-09,Lampang,0.0,0.0,0.0
2023-01-09,Lamphun,0.0,0.0,0.0
2023-01-09,Mae Hong Son,1.0,5.32,5.32
2023-01-09,Nan,0.0,0.0,0.0
2023-01-09,Phayao,0.0,0.0,0.0
2023-01-09,Phrae,0.0,0.0,0.0
2023-01-10,Chiang Mai,11.0,85.59,7.780909090909091
2023-01-10,Chiang Rai,41.0,275.66,6.723414634146342
2023-01-10,Lampang,14.0,46.83,3.3449999999999998
2023-01-10,Lamphun,6.0,12.15,2.025
2023-01-10,Mae Hong Son,3.0,15.27,5.09
2023-01-10,Nan,2.0,9.79,4.895
2023-01-10,Phayao,9.0,70.7,7.855555555555556
2023-01-10,Phrae,3.0,27.700000000000003,9.233333333333334
2023-01-11,Chiang Mai,4.0,8.84,2.21
2023-01-11,Chiang Rai,9.0,40.88,4.542222222222223
2023-01-11,Lampang,5.0,16.12,3.224
2023-01-11,Lamphun,3.0,5.56,1.8533333333333333
2023-01-11,Mae Hong Son,1.0,4.98,4.98
2023-01-11,Nan,3.0,15.46,5.153333333333333
2023-01-11,Phayao,11.0,36.839999999999996,3.3490909090909087
2023-01-11,Phrae,4.0,15.850000000000001,3.9625000000000004
2023-01-12,Chiang Mai,11.0,33.92,3.083636363636364
2023-01-12,Chiang Rai,10.0,92.6,9.26
2023-01-12,Lampang,1.0,2.0,2.0
2023-01-12,Lamphun,0.0,0.0,0.0
2023-01-12,Mae Hong Son,2.0,7.4399999999999995,3.7199999999999998
2023-01-12,Nan,0.0,0.0,0.0
2023-01-12,Phayao,5.0,26.799999999999997,5.359999999999999
2023-01-12,Phrae,4.0,47.96,11.99
2023-01-13,Chiang Mai,11.0,50.7,4.609090909090909
2023-01-13,Chiang Rai,26.0,142.6,5.484615384615385
2023-01-13,Lampang,11.0,47.95,4.359090909090909
2023-01-13,Lamphun,5.0,12.469999999999999,2.4939999999999998
2023-01-13,Mae Hong Son,9.0,34.45,3.827777777777778
2023-01-13,Nan,2.0,1.8399999999999999,0.9199999999999999
2023-01-13,Phayao,8.0,50.61,6.32625
2023-01-13,Phrae,2.0,5.71,2.855
2023-01-14,Chiang Mai,17.0,59.98,3.5282352941176467
2023-01-14,Chiang Rai,15.0,118.22999999999999,7.882
2023-01-14,Lampang,11.0,55.94,5.085454545454545
2023-01-14,Lamphun,8.0,86.28,10.785
2023-01-14,Mae Hong Son,6.0,28.23,4.705
2023-01-14,Nan,11.0,63.92999999999999,5.8118181818181816
2023-01-14,Phayao,10.0,57.9,5.79
2023-01-14,Phrae,4.0,24.87,6.2175
2023-01-15,Chiang Mai,20.0,128.73000000000002,6.4365000000000006
2023-01-15,Chiang Rai,20.0,110.02,5.5009999999999994
2023-01-15,Lampang,16.0,70.17,4.385625
2023-01-15,Lamphun,5.0,10.64,2.128
2023-01-15,Mae Hong Son,2.0,2.93,1.465
2023-01-15,Nan,8.0,69.06,8.6325
2023-01-15,Phayao,15.0,70.84,4.722666666666667
2023-01-15,Phrae,10.0,25.94,2.5940000000000003
2023-01-16,Chiang Mai,18.0,112.75,6.263888888888889
2023-01-16,Chiang Rai,26.0,184.93,7.112692307692308
2023-01-16,Lampang,15.0,49.4,3.2933333333333334
2023-01-16,Lamphun,7.0,30.45,4.35
2023-01-16,Mae Hong Son,14.0,82.25,5.875
2023-01-16,Nan,7.0,30.599999999999998,4.371428571428571
2023-01-16,Phayao,20.0,73.26,3.6630000000000003
2023-01-16,Phrae,5.0,33.98,6.795999999999999
2023-01-17,Chiang Mai,6.0,48.81,8.135
2023-01-17,Chiang Rai,16.0,62.71,3.919375
2023-01-17,Lampang,4.0,15.309999999999999,3.8274999999999997
2023-01-17,Lamphun,1.0,2.49,2.49
2023-01-17,Mae Hong Son,4.0,9.69,2.4225
2023-01-17,Nan,3.0,26.22,8.74
2023-01-17,Phayao,8.0,27.11,3.38875
2023-01-17,Phrae,5.0,22.84,4.568
2023-01-18,Chiang Mai,2.0,3.1,1.55
2023-01-18,Chiang Rai,6.0,55.76,9.293333333333333
2023-01-18,Lampang,1.0,5.0,5.0
2023-01-18,Lamphun,0.0,0.0,0.0
2023-01-18,Mae Hong Son,1.0,2.69,2.69
2023-01-18,Nan,10.0,27.31,2.731
2023-01-18,Phayao,2.0,6.17,3.085
2023-01-18,Phrae,0.0,0.0,0.0
2023-01-19,Chiang Mai,8.0,42.089999999999996,5.2612499999999995
2023-01-19,Chiang Rai,8.0,49.45,6.18125
2023-01-19,Lampang,1.0,2.81,2.81
2023-01-19,Lamphun,1.0,2.61,2.61
2023-01-19,Mae Hong Son,5.0,20.5,4.1
2023-01-19,Nan,10.0,36.85,3.685
2023-01-19,Phayao,3.0,3.97,1.3233333333333335
2023-01-19,Phrae,6.0,33.96,5.66
2023-01-20,Chiang Mai,10.0,80.0,8.0
2023-01-20,Chiang Rai,22.0,185.32,8.423636363636364
2023-01-20,Lampang,19.0,89.36,4.703157894736842
2023-01-20,Lamphun,4.0,27.25,6.8125
2023-01-20,Mae Hong Son,3.0,10.72,3.5733333333333337
2023-01-20,Nan,6.0,112.41,18.735
2023-01-20,Phayao,14.0,54.9,3.9214285714285713
2023-01-20,Phrae,7.0,35.43,5.061428571428571
2023-01-21,Chiang Mai,25.0,112.81,4.5124
2023-01-21,Chiang Rai,18.0,80.59,4.477222222222222
2023-01-21,Lampang,24.0,64.99,2.7079166666666663
2023-01-21,Lamphun,10.0,33.01,3.3009999999999997
2023-01-21,Mae Hong Son,10.0,19.01,1.9010000000000002
2023-01-21,Nan,18.0,106.17,5.898333333333333
2023-01-21,Phayao,39.0,123.25,3.16025641025641
2023-01-21,Phrae,12.0,38.03,3.169166666666667
2023-01-22,Chiang Mai,10.0,37.32,3.732
2023-01-22,Chiang Rai,18.0,111.7,6.205555555555556
2023-01-22,Lampang,26.0,101.99,3.9226923076923077
2023-01-22,Lamphun,4.0,8.52,2.13
2023-01-22,Mae Hong Son,3.0,13.26,4.42
2023-01-22,Nan,8.0,45.63,5.70375
2023-01-22,Phayao,16.0,63.24,3.9525
2023-01-22,Phrae,11.0,50.19,4.5627272727272725
2023-01-23,Chiang Mai,17.0,175.85000000000002,10.344117647058825
2023-01-23,Chiang Rai,12.0,49.61,4.134166666666666
2023-01-23,Lampang,23.0,32.78,1.4252173913043478
2023-01-23,Lamphun,2.0,5.779999999999999,2.8899999999999997
2023-01-23,Mae Hong Son,5.0,26.53,5.306
2023-01-23,Nan,4.0,25.84,6.46
2023-01-23,Phayao,13.0,26.240000000000002,2.0184615384615388
2023-01-23,Phrae,12.0,62.41,5.200833333333333
2023-01-24,Chiang Mai,15.0,56.38,3.758666666666667
2023-01-24,Chiang Rai,15.0,78.74,5.249333333333333
2023-01-24,Lampang,11.0,26.88,2.4436363636363634
