latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
24.58785,104.69251,338.55,0.72,0.75,2026-07-23,523,N,VIIRS,n,2.0NRT,286.38,8.19,D
13.09753,101.243,331.71,0.51,0.41,2026-07-23,659,N,VIIRS,n,2.0NRT,293.62,3.25,D
13.49322,105.9894,330.38,0.35,0.57,2026-07-23,659,N,VIIRS,n,2.0NRT,285.49,2.83,D
14.01937,99.82026,336.44,0.45,0.39,2026-07-23,659,N,VIIRS,n,2.0NRT,295.33,2.73,D
14.02108,99.82034,333.99,0.45,0.39,2026-07-23,659,N,VIIRS,n,2.0NRT,293.9,2.97,D
14.28611,99.78254,332.07,0.45,0.39,2026-07-23,659,N,VIIRS,n,2.0NRT,295.94,2.68,D
14.79637,100.21654,347.09,0.48,0.4,2026-07-23,659,N,VIIRS,n,2.0NRT,295.66,8.58,D
14.8054,99.85231,332.45,0.46,0.39,2026-07-23,659,N,VIIRS,n,2.0NRT,296.76,2.74,D
14.87838,100.05753,330.61,0.47,0.4,2026-07-23,659,N,VIIRS,n,2.0NRT,295.01,3.54,D
14.8839,100.20497,334.61,0.48,0.4,2026-07-23,659,N,VIIRS,n,2.0NRT,294.56,4.66,D
18.38538,99.4291,339.06,0.48,0.4,2026-07-23,659,N,VIIRS,n,2.0NRT,294.98,8.05,D
18.39274,99.42804,338.63,0.48,0.4,2026-07-23,659,N,VIIRS,n,2.0NRT,296.0,5.12,D
18.39334,99.43259,336.41,0.48,0.4,2026-07-23,659,N,VIIRS,n,2.0NRT,295.6,5.3,D
18.39522,99.41843,338.19,0.48,0.4,2026-07-23,659,N,VIIRS,n,2.0NRT,294.67,7.17,D
18.39582,99.42297,336.36,0.48,0.4,2026-07-23,659,N,VIIRS,n,2.0NRT,295.04,5.12,D
19.18661,105.25203,326.85,0.37,0.58,2026-07-23,659,N,VIIRS,n,2.0NRT,280.62,3.93,D
19.55294,105.56005,327.57,0.39,0.59,2026-07-23,659,N,VIIRS,n,2.0NRT,289.38,3.08,D
20.47476,100.12308,330.96,0.55,0.42,2026-07-23,659,N,VIIRS,n,2.0NRT,293.55,4.29,D
15.05042,100.26136,334.06,0.48,0.4,2026-07-23,701,N,VIIRS,n,2.0NRT,294.8,3.62,D
15.05177,100.25993,334.45,0.48,0.4,2026-07-23,701,N,VIIRS,n,2.0NRT,294.9,4.04,D
15.12391,100.32904,330.62,0.49,0.4,2026-07-23,701,N,VIIRS,n,2.0NRT,294.99,2.62,D
15.1286,100.17242,336.67,0.48,0.4,2026-07-23,701,N,VIIRS,n,2.0NRT,293.05,4.83,D
15.14146,100.15692,333.59,0.48,0.4,2026-07-23,701,N,VIIRS,n,2.0NRT,293.04,5.4,D
16.05169,100.39884,337.44,0.5,0.41,2026-07-23,701,N,VIIRS,n,2.0NRT,294.06,5.11,D
16.05546,100.39831,340.21,0.5,0.41,2026-07-23,701,N,VIIRS,n,2.0NRT,293.37,6.18,D
16.06237,100.42136,332.77,0.5,0.41,2026-07-23,701,N,VIIRS,n,2.0NRT,292.36,2.87,D
16.063,100.42609,336.71,0.5,0.41,2026-07-23,701,N,VIIRS,n,2.0NRT,291.47,2.87,D
16.27162,99.90199,330.48,0.48,0.4,2026-07-23,701,N,VIIRS,n,2.0NRT,294.06,1.47,D
16.32881,99.59019,331.38,0.46,0.39,2026-07-23,701,N,VIIRS,n,2.0NRT,293.62,3.64,D
16.34881,99.81537,340.33,0.47,0.4,2026-07-23,701,N,VIIRS,n,2.0NRT,294.1,5.52,D
16.35248,99.81483,339.2,0.47,0.4,2026-07-23,701,N,VIIRS,n,2.0NRT,293.66,5.98,D
